         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
             val	               6	             824	   Morgan2noFeat	        TverskyB	  0.474514563107	  0.788834951456	  0.893203883495	  0.936893203883	  0.947815533981	  0.949029126214
             val	               5	              67	   Morgan2noFeat	        TverskyB	  0.955223880597	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	   Morgan2noFeat	        TverskyB	  0.527472527473	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	   Morgan2noFeat	        TverskyB	   0.45406360424	   0.60777385159	  0.674911660777	  0.757950530035	  0.832155477032	  0.871024734982
             val	               2	            1190	   Morgan2noFeat	        TverskyB	  0.626050420168	  0.847058823529	  0.905042016807	  0.946218487395	  0.953781512605	  0.956302521008
             val	               1	            1515	   Morgan2noFeat	        TverskyB	  0.480528052805	  0.687128712871	  0.782178217822	   0.86798679868	  0.917491749175	  0.925412541254
             val	             all	            5001	   Morgan2noFeat	        TverskyB	  0.375924815037	  0.556288742252	  0.643071385723	  0.757648470306	  0.840231953609	  0.871025794841
             val	              10	              23	   Morgan3noFeat	        Tanimoto	   0.95652173913	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	   Morgan3noFeat	        Tanimoto	  0.371584699454	  0.601092896175	  0.704918032787	  0.830601092896	  0.912568306011	  0.945355191257
             val	               8	              81	   Morgan3noFeat	        Tanimoto	  0.777777777778	  0.925925925926	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	   Morgan3noFeat	        Tanimoto	  0.561822125813	   0.72885032538	  0.819956616052	  0.911062906725	  0.939262472885	  0.943600867679
             val	               6	             824	   Morgan3noFeat	        Tanimoto	  0.464805825243	  0.781553398058	  0.882281553398	  0.936893203883	  0.945388349515	  0.947815533981
             val	               5	              67	   Morgan3noFeat	        Tanimoto	  0.955223880597	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	   Morgan3noFeat	        Tanimoto	  0.538461538462	   0.67032967033	  0.681318681319	  0.681318681319	  0.681318681319	  0.681318681319
             val	               3	             566	   Morgan3noFeat	        Tanimoto	  0.441696113074	  0.609540636042	  0.678445229682	  0.759717314488	  0.835689045936	  0.874558303887
             val	               2	            1190	   Morgan3noFeat	        Tanimoto	  0.640336134454	  0.857983193277	  0.904201680672	  0.949579831933	  0.955462184874	  0.956302521008
             val	               1	            1515	   Morgan3noFeat	        Tanimoto	  0.483828382838	  0.691089108911	  0.782178217822	  0.877887788779	  0.918811881188	  0.926072607261
             val	             all	            5001	   Morgan3noFeat	        Tanimoto	  0.378124375125	  0.559688062388	  0.646270745851	   0.75524895021	  0.840631873625	  0.863627274545
             val	              10	              23	   Morgan3noFeat	            Dice	   0.95652173913	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	   Morgan3noFeat	            Dice	  0.371584699454	  0.601092896175	  0.699453551913	  0.830601092896	  0.912568306011	  0.945355191257
             val	               8	              81	   Morgan3noFeat	            Dice	  0.777777777778	  0.925925925926	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	   Morgan3noFeat	            Dice	  0.561822125813	  0.731019522777	  0.819956616052	  0.911062906725	  0.939262472885	  0.943600867679
             val	               6	             824	   Morgan3noFeat	            Dice	  0.468446601942	  0.787621359223	  0.882281553398	  0.936893203883	  0.945388349515	  0.947815533981
             val	               5	              67	   Morgan3noFeat	            Dice	  0.955223880597	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	   Morgan3noFeat	            Dice	  0.538461538462	   0.67032967033	  0.681318681319	  0.681318681319	  0.681318681319	  0.681318681319
             val	               3	             566	   Morgan3noFeat	            Dice	  0.441696113074	  0.611307420495	  0.673144876325	  0.757950530035	  0.835689045936	  0.874558303887
             val	               2	            1190	   Morgan3noFeat	            Dice	  0.641176470588	  0.857983193277	  0.905042016807	  0.949579831933	  0.955462184874	  0.956302521008
